city,date,fare,ride_id
Lake Jonathanshire,43479.42664,13.83,5.73941E+12
South Michelleport,43528.76677,30.24,2.34391E+12
Port Samanthamouth,43520.18681,33.44,2.00507E+12
Rodneyfort,43506.97365,23.44,5.14925E+12
South Jack,43530.18652,34.58,3.90845E+12
South Latoya,43535.51861,9.52,1.995E+12
New Paulville,43523.47079,43.25,7.93208E+11
Simpsonburgh,43581.03014,35.98,1.11954E+11
South Karenland,43473.145,35.09,7.99562E+12
North Jasmine,43533.26839,42.81,5.32764E+12
New Kimberlyborough,43503.04874,9.34,7.99278E+12
West Angela,43477.07323,26.86,4.82005E+12
Rodneyfort,43526.75231,44.26,2.49406E+12
West Angela,43475.51216,12.74,2.10872E+12
Roberthaven,43589.61731,25.66,1.0262E+12
North Jason,43552.93662,9.19,7.00702E+12
Williamsview,43468.68015,18.93,1.97949E+12
Leahton,43522.77934,8.85,6.96667E+12
West Anthony,43530.10209,10.02,9.39676E+12
New Kimberlyborough,43580.95738,29.67,4.82357E+12
Roberthaven,43520.43512,7.8,2.18057E+12
New Paulton,43586.1339,8.28,8.5271E+12
West Patrickchester,43543.24051,40.86,8.98889E+11
Deanville,43580.14524,41.52,6.05593E+12
West Josephberg,43515.68205,36.39,3.32213E+12
West Samuelburgh,43588.60672,41.12,7.33084E+12
West Heidi,43538.99086,24.4,4.90857E+12
Loganberg,43556.04587,8.23,6.78729E+11
Huntermouth,43506.98071,25.79,1.88038E+12
South Latoya,43476.78072,27.41,8.6623E+12
New Paulville,43542.95429,25.05,5.0318E+12
Grahamburgh,43480.48912,40.69,3.07021E+11
Port Frank,43498.59348,41.47,6.74661E+12
East Kaylahaven,43524.17635,25.96,3.66252E+12
Rodneyfort,43499.03381,44.86,2.3257E+12
South Karenland,43508.28615,36.01,4.01593E+12
West Robert,43511.18179,12.28,1.4425E+12
North Markport,43514.34554,38.09,9.25013E+11
Williamsview,43536.28314,8.35,1.94044E+12
Richardfort,43520.36155,13.93,5.62855E+12
New Kimberlyborough,43538.69959,27.9,6.7508E+12
Reynoldsfurt,43549.60656,34.06,6.60442E+12
South Karenland,43593.10515,41.33,5.68892E+12
Rodneyfort,43580.87341,21.7,8.5346E+12
Justinberg,43578.37486,14.65,9.87823E+12
West Josephberg,43529.14414,12.91,1.02685E+11
South Karenland,43527.61701,37.3,4.104E+12
Leahton,43590.44086,17.05,5.84659E+12
Martinezhaven,43543.64683,5.3,2.64338E+11
North Jason,43527.09279,28.02,2.67055E+12
Jerryton,43527.74332,28.08,6.00341E+12
Lake Scottton,43514.39068,25.02,3.90934E+12
South Evanton,43510.24694,42.5,9.95366E+12
Rogerston,43593.07938,32.69,1.64341E+12
West Samuelburgh,43587.57987,38.77,2.93169E+12
West Ericstad,43579.13905,7.31,4.29248E+12
New Paulville,43534.44819,4.43,1.21392E+12
Hurleymouth,43589.91007,21.44,4.03966E+12
West Samuelburgh,43527.13704,25.17,1.78175E+12
Joneschester,43525.78374,34.71,3.34326E+12
New Paulville,43558.32712,32.7,9.56256E+12
Simpsonburgh,43484.96281,15.83,2.33191E+11
Port Angela,43572.26618,16.34,7.12053E+12
West Ericstad,43559.54394,28.52,6.43285E+12
New Kimberlyborough,43540.06861,17.19,2.77047E+12
Joneschester,43495.73733,36.78,1.66403E+12
North Markport,43581.19854,44.37,1.62842E+12
Hurleymouth,43546.4722,32.85,8.44929E+12
Barajasview,43480.12439,19.52,8.26811E+12
Grahamburgh,43561.57563,23.87,1.46825E+12
South Michelleport,43526.41308,33.12,8.13844E+11
Loganberg,43472.7935,16.26,9.04538E+12
West Christopherberg,43542.71813,12.64,1.06109E+12
Rogerston,43519.80084,14.04,7.64714E+12
Huntermouth,43520.33128,39.12,9.28039E+11
New Jacobville,43505.09554,7.11,3.85505E+12
Lake Jonathanshire,43562.86888,31.25,4.44125E+12
Port David,43541.613,33.11,1.02568E+12
Martinezhaven,43516.81441,13.34,2.76069E+12
Port Frank,43574.81606,26.47,6.72271E+12
Valentineton,43526.61443,39.77,6.77039E+12
Hurleymouth,43527.47797,36.31,1.67035E+11
Carriemouth,43521.35168,32.37,6.91843E+12
Port Samanthamouth,43571.77412,9.2,8.71225E+12
Williamsstad,43488.74403,19.62,1.25986E+11
Royland,43472.09986,24.5,3.62085E+12
New Jacobville,43470.21013,34.11,2.82852E+12
Roberthaven,43530.95591,12.38,3.37296E+12
South Evanton,43472.78266,43.61,9.1225E+12
New Paulton,43588.50639,21.67,9.08656E+12
Karenberg,43535.72653,36.15,7.79676E+12
Rodneyfort,43495.5241,16.99,5.77873E+12
East Kaylahaven,43559.10828,23.18,57422927996
Huntermouth,43515.13844,7.05,1.61652E+12
Barajasview,43488.55825,37.68,4.10845E+12
Williamsstad,43553.90491,35.58,4.74778E+12
North Jason,43532.83774,25.21,3.18008E+12
Christopherfurt,43572.10126,23.3,7.81906E+12
Liumouth,43476.71895,36.78,1.46452E+12
Johnton,43482.09168,32.19,8.5263E+12
West Angela,43532.04771,41.06,6.20487E+12
Jerryton,43469.69374,37.2,5.63787E+12
Erikaland,43514.32448,20.62,3.29415E+12
North Jason,43503.31052,20,4.7365E+11
Lake Scottton,43590.47346,18.77,4.05382E+11
Simpsonburgh,43546.37249,22.05,3.49518E+12
Raymondhaven,43536.29166,16.98,6.4477E+12
West Robert,43560.13815,44.58,4.24601E+12
North Jason,43542.42404,6.41,2.86583E+12
Port Samanthamouth,43488.38079,35.51,3.11686E+12
West Robert,43486.7235,27.11,1.36991E+12
Jerryton,43470.65053,37.91,1.58708E+12
Port Samanthamouth,43499.29654,18.03,9.29219E+12
Liumouth,43480.33025,14.55,4.37935E+12
West Heidi,43558.13632,24.76,1.82023E+12
Loganberg,43486.68515,22.86,1.9543E+12
Grahamburgh,43513.41301,30.25,4.04793E+12
Raymondhaven,43591.97418,25.76,8.72102E+12
Karenside,43490.64951,14.52,2.65236E+12
Port Frank,43561.90197,18.08,5.47489E+12
Leahton,43557.73584,22.76,5.80873E+12
Port Samanthamouth,43577.14765,29.67,3.15406E+12
Jerryton,43568.90799,32.08,8.49918E+12
West Patrickchester,43531.65772,23.66,3.06609E+12
West Samuelburgh,43527.67181,27.48,1.00531E+11
North Markport,43555.58212,29.41,3.09347E+12
West Angela,43534.47431,27.1,1.36532E+12
Grahamburgh,43536.1139,22.97,4.89801E+12
South Michelleport,43473.40155,23.77,4.91616E+12
East Kaylahaven,43557.29576,9.67,2.08846E+12
South Karenland,43577.90117,22.86,6.72815E+12
Lake Danielberg,43520.50361,9.63,9.14933E+12
Justinberg,43581.36183,8.83,1.82309E+12
Karenberg,43584.87105,28.41,9.05285E+12
South Phillip,43505.69929,7.89,3.20319E+12
North Madeline,43560.76659,29.69,2.40703E+11
New Kimberlyborough,43586.581,22.59,9.25093E+12
South Jack,43579.81523,38.04,2.19799E+12
Erikaland,43535.09685,27.39,1.32014E+11
New Paulville,43551.09622,7.29,7.04676E+12
Hurleymouth,43550.84894,41.15,4.70726E+12
Liumouth,43567.15153,43.34,7.85723E+12
Deanville,43586.91229,8.28,5.92955E+11
Karenside,43557.80749,41.93,4.09361E+12
West Angela,43495.75596,19.13,2.07814E+12
Liumouth,43497.84532,24.81,5.47007E+12
Jerryton,43551.53358,13.29,8.95984E+12
South Phillip,43589.38241,28.3,8.69657E+12
Port Johnbury,43582.68221,25.67,2.74633E+12
Raymondhaven,43504.9981,5.7,3.93003E+12
Port David,43531.77604,42.04,9.90596E+12
Robertport,43530.41051,6.73,9.67976E+12
Loganberg,43540.49057,23.99,9.4929E+12
Karenside,43574.42868,36.01,1.32274E+12
Lake Jonathanshire,43533.99022,19.89,2.3895E+12
Pattyland,43495.52473,8.57,4.68889E+12
West Robert,43568.28903,32.94,9.60361E+12
Justinberg,43567.22757,17.03,8.37476E+12
West Josephberg,43505.58882,4.42,8.30379E+12
North Markport,43486.49294,27.68,4.55676E+12
Williamsview,43474.64214,44.46,2.19553E+12
Raymondhaven,43497.24387,13.86,8.72105E+12
South Latoya,43508.68946,30.22,7.38842E+12
Deanville,43553.17208,5.32,2.61267E+12
Amandaburgh,43529.09419,26.28,9.06851E+11
Jerryton,43492.61558,29.08,6.16053E+12
Deanville,43548.01851,30.55,5.27611E+12
West Anthony,43488.52275,23.24,5.96601E+11
